Species;Name;Area 1;Area 2;Area 3;Area 4;Area 5;Area 6;Area 7;Area 8;Area 9;Area 10;Area 11;Area 12;Area 13;Area 14;Area 15;Area 16;Area 17;Area 18;Area 19;Area 20;Area 21;Area 22;Area 23;Area 24;Area 25;Area 26;Area 27;Area 28;Area 29;Area 30;Area 31;Area 32;Area 33;Area 34;Area 35;Area 36;Area 37;Area 38;Area 39;Area 40;Area 41;Area 42;Area 43;Area 44;Area 45;Area 46;Area 47;Area 48;Area 49;Area 50;Area 51;Area 52;Area 53;Area 54;Area 55;Area 56;Area 57;Area 58;Area 59;Area 60;Area 61;Area 62;Area 63;Area 64;Area 65;Area 66;Area 67;Area 68;Area 69;Area 70;Area 71;Area 72;Area 73;Area 74;Area 75;Area 76;Area 77;Area 78;Area 79;Area 80;Area 81;Area 82;Area 83;Area 84;Area 85;Area 86;Area 87;Area 88;Area 89;Area 90;Area 91;Area 92;Area 93;Area 94;Area 95;Area 96;Area 97;Area 98;Area 99;Area 100;Area 101;Area 102
Hogere plant;Medicago lupulina - Hopklaver;;;2.0;3.0;2.0;;8.0;8.0;2.0;;2.0;;2.0;;;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;3.0;;2.0;;;;2.0;;;;;;2.0;;2.0;;;;;;;;;;;;;;;;2.0;;;8.0;;;;2.0;;;;1.0;;;;;0.0;
Hogere plant;Plantago lanceolata - Smalle weegbree;;;8.0;8.0;8.0;2.0;;8.0;8.0;8.0;2.0;;8.0;2.0;8.0;;1.0;;1.0;;;2.0;;2.0;2.0;2.0;;;;;;8.0;;;2.0;2.0;3.0;;;;;2.0;;8.0;;;2.0;8.0;3.0;8.0;8.0;2.0;2.0;2.0;8.0;8.0;8.0;2.0;;;8.0;8.0;3.0;8.0;8.0;2.0;8.0;8.0;8.0;8.0;;3.0;2.0;;8.0;8.0;2.0;1.0;;2.0;;;2.0;;1.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Potentilla anserina - Zilverschoon;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Ranunculus repens - Kruipende boterbloem;;;2.0;;;;2.0;2.0;2.0;;;3.0;;;3.0;;2.0;1.0;;3.0;;8.0;;8.0;2.0;;;;;;;;;;8.0;;;;;;;;;;;3.0;2.0;;;;;;8.0;;;;2.0;;8.0;2.0;;2.0;;;8.0;;;;;;;2.0;;2.0;8.0;2.0;;2.0;2.0;2.0;;;;8.0;;;;3.0;;;;2.0;;2.0;;1.0;1.0;;;;0.0;
Hogere plant;Tanacetum vulgare - Boerenwormkruid;;;2.0;;;8.0;2.0;;2.0;;;;;;1.0;;;;;;;;;;8.0;;;;;;8.0;;;;8.0;;;;;;;;;8.0;;;;8.0;;;2.0;8.0;;;;2.0;;1.0;;;;;2.0;8.0;1.0;;;;8.0;;;;;;8.0;3.0;;;8.0;;;;;;;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Vicia cracca - Vogelwikke;;;2.0;2.0;;;;;2.0;;;;;;;;1.0;;;;;3.0;2.0;;;;;;;8.0;2.0;;2.0;;3.0;;;;;;;;;;;;;;;;8.0;2.0;2.0;;;;;2.0;;;;;;;8.0;;;;2.0;;;8.0;;;;;;;;2.0;2.0;2.0;;;;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Vicia hirsuta - Ringelwikke;;;2.0;;;1.0;8.0;;;2.0;;;;;;;1.0;;2.0;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;3.0;;;;;;2.0;2.0;2.0;3.0;;2.0;;2.0;3.0;;;;2.0;;2.0;;;;;;;;;;;;;;;2.0;;;;;1.0;2.0;;;;0.0;
Hogere plant;Vicia sativa - Smalle / Vergeten / Voederwikke;;;2.0;;2.0;2.0;2.0;;2.0;;;;2.0;2.0;1.0;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;2.0;2.0;3.0;;;;2.0;2.0;8.0;3.0;;;;;;;;;3.0;;2.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Agrostemma githago - Bolderik;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Agrostis gigantea - Hoog struisgras;;;;8.0;;;8.0;8.0;;8.0;8.0;8.0;;;8.0;;;;;;;;;;2.0;8.0;;;;;;;;;;8.0;;2.0;2.0;8.0;;;;;;;;;;;;;;;;;4.0;;;;;;;2.0;;;8.0;;;;;;;;;8.0;;;;;;;;;;2.0;;4.0;;;8.0;;2.0;;;1.0;;;;;0.0;
Hogere plant;Anthyllis vulneraria - Wondklaver;;;;8.0;;;2.0;;;;2.0;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;2.0;;;;;;;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Betonica officinalis - Betonie;;;;2.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;0.0;
Mos;Bryoerythrophyllum species - Roestvoetje (G);;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Centaurea cyanus - Korenbloem;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Dianthus deltoides - Steenanjer;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;2.0;;;;;;;;;;;;4.0;8.0;2.0;2.0;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Echium vulgare - Slangenkruid;;;;2.0;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Erigeron annuus - Zomerfijnstraal;;;;1.0;8.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;2.0;;;;;;4.0;2.0;;;;;;;;;;;;;;2.0;;;;;;;;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Glebionis segetum - Gele ganzenbloem;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Leontodon saxatilis - Kleine leeuwentand;;;;2.0;;;;;;;3.0;;;;;;;;;2.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;2.0;;;;;;8.0;;;;;;;2.0;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Leucanthemum vulgare - Gewone margriet;;;;2.0;8.0;2.0;2.0;;;;2.0;;;;;;;;;;;;;;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;3.0;3.0;2.0;;1.0;;;3.0;;;;;;2.0;;8.0;8.0;;;;8.0;2.0;2.0;;;;;8.0;;;;3.0;;;;2.0;;1.0;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Lotus corniculatus var. corniculatus - Gewone rolklaver;;;;8.0;2.0;;2.0;8.0;;8.0;2.0;;2.0;8.0;2.0;;;;;3.0;;2.0;;;;;;;;;2.0;;;;;1.0;;;;;;;;;;;;1.0;3.0;;;;;;;3.0;;;2.0;;;;2.0;;;2.0;;;;;2.0;2.0;;2.0;2.0;1.0;2.0;;;;;;2.0;;2.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Luzula campestris / multiflora - Gewone / Veelbloemige veldbies;;;;2.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Oenothera species - Teunisbloem (G);;;;8.0;;;2.0;;;;;;;;2.0;;;;;;;;;;;3.0;2.0;;;;;;;;2.0;;;;;;;;;;;;;2.0;;;;;;;2.0;;;;;;;;;;;;2.0;2.0;;;;;;;2.0;;;;;;;;;;3.0;;;;;;;2.0;;;;;;;;;0.0;
Hogere plant;Origanum vulgare - Wilde marjolein;;;;2.0;;;;;;;3.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Phleum nodosum/pratense - Gewoon timoteegras / Klein timoteegras;;;;2.0;;;;;;;;;;;;;;;;;;2.0;;;2.0;;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Poa species - Beemdgras (G);;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Potentilla reptans - Vijfvingerkruid;;;;2.0;;;;;;;2.0;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;0.0;
Hogere plant;Poterium sanguisorba - Kleine pimpernel / Moespimpernel;;;;2.0;;;;;;;3.0;;;;;;;;;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;8.0;;;;;;;;;;;2.0;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Prunella vulgaris - Gewone brunel;;;;2.0;;;;;;2.0;2.0;;;;;;;;;2.0;;;;;2.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;2.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Silene vulgaris - Blaassilene;;;;2.0;;;;;;;2.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;2.0;;;;3.0;;;;;;;;2.0;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Trisetum flavescens - Goudhaver;;;;1.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Anthoxanthum odoratum - Gewoon reukgras;;;;;2.0;;;;8.0;8.0;;;;2.0;;;;;;2.0;2.0;8.0;;1.0;;;;;;;;;1.0;;;3.0;;;;;;;;;;;;;;8.0;2.0;;8.0;;;8.0;;;;8.0;;;8.0;;;;;;;8.0;8.0;8.0;8.0;2.0;8.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Mos;Brachythecium rutabulum - Gewoon dikkopmos;;;;;8.0;8.0;8.0;2.0;;8.0;;;3.0;;;;;;;;;2.0;;;8.0;;;8.0;;;2.0;;;3.0;;2.0;2.0;2.0;8.0;;2.0;;2.0;2.0;;8.0;2.0;3.0;2.0;8.0;8.0;;;;3.0;8.0;1.0;2.0;;8.0;3.0;8.0;2.0;8.0;4.0;2.0;;;2.0;8.0;;2.0;;;8.0;8.0;;;2.0;;;;;3.0;;;;;8.0;;;;2.0;8.0;;;;;;2.0;0.0;
Hogere plant;Cerastium glomeratum - Kluwenhoornbloem;;;;;2.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;3.0;;;;;;2.0;;;;2.0;2.0;2.0;;;;2.0;2.0;4.0;;;2.0;;;;;;;;2.0;;;;2.0;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Glechoma hederacea - Hondsdraf;;;;;8.0;3.0;;;;;;;;;;;;;;;;;;;;;;8.0;;;2.0;2.0;;;8.0;;;;;;;;;;;2.0;;1.0;;;;;;2.0;;;;2.0;;;;;;2.0;2.0;;;;;;;;;;;;;;8.0;;;;;;;;;2.0;;;;;;8.0;;;;;;;0.0;
Hogere plant;Poa trivialis - Ruw beemdgras;;;;;2.0;;2.0;8.0;;;;8.0;;2.0;2.0;;;;1.0;2.0;;2.0;2.0;;2.0;;;2.0;;;;3.0;;;;;;;;;;;;;;;;;;;;3.0;;8.0;2.0;;;;2.0;;;2.0;;;;;;;2.0;;;;;2.0;;;;;2.0;8.0;3.0;4.0;;;;2.0;;;3.0;;8.0;2.0;2.0;3.0;;1.0;1.0;1.0;;;0.0;
Hogere plant;Schedonorus arundinaceus - Rietzwenkgras;;;;;3.0;;;;;8.0;;;;2.0;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;2.0;;;;;;;;;;;2.0;;;3.0;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;0.0;
Hogere plant;Solidago gigantea - Late guldenroede;;;;;8.0;;;;;;;;;;;;;;;;;;;;2.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;2.0;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;0.0;
Hogere plant;Trifolium pratense - Rode klaver;;;;;2.0;;8.0;;;8.0;;;;2.0;;;;;;2.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;2.0;;;2.0;;;;;;2.0;2.0;;;2.0;;;8.0;;;8.0;4.0;;3.0;2.0;2.0;;;;;;;;;;;2.0;;;;;;;;;;;;;0.0;
Hogere plant;Carex hirta - Ruige zegge;;;;;;2.0;;;8.0;;2.0;;;;8.0;;;;;;;;8.0;;8.0;;;;;;;;;;2.0;;;;2.0;;;;;;;;;;;;8.0;;;;;;2.0;;;;;;2.0;2.0;;8.0;;;;;;;;;;8.0;;;8.0;4.0;;;;;;;;;;;;;;2.0;;;;;;;0.0;
Hogere plant;Cichorium intybus - Wilde cichorei;;;;;;2.0;;;;;8.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;2.0;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Erigeron sumatrensis - Hoge fijnstraal;;;;;;2.0;2.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Hypericum perforatum - Sint-Janskruid;;;;;;2.0;8.0;;1.0;;2.0;;;;;;;;;;;;;;2.0;;2.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;2.0;8.0;;;;2.0;;2.0;;;;;;;;;;;;;;;1.0;;;;8.0;;;;;;;;;;;;0.0;
Hogere plant;Agrostis stolonifera - Fioringras;;;;;;;8.0;;2.0;;;8.0;;;2.0;1.0;1.0;;;;;;;8.0;;;;8.0;;;;8.0;2.0;;;;;;;;;8.0;;8.0;8.0;;;;;;;;8.0;;;;;;2.0;;;;;;;;;;;;;;;3.0;;;2.0;;;;2.0;4.0;;;;8.0;2.0;;;8.0;;;;8.0;1.0;1.0;2.0;1.0;;;0.0;
Hogere plant;Anisantha sterilis - IJle dravik;;;;;;;2.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;2.0;;;2.0;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Mos;Barbula convoluta var. convoluta;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Mos;Bryum species - Knikmos (G);;;;;;;2.0;;;;2.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;;;2.0;1.0;;;2.0;8.0;;8.0;2.0;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Campanula latifolia - Breed klokje;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Campanula rapunculus - Rapunzelklokje;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Centranthus ruber - Rode spoorbloem;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Cirsium vulgare - Speerdistel;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Epilobium species - Basterdwederik (G);;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;1.0;;;1.0;;;;;2.0;;;;;;;;;;;0.0;
Hogere plant;Eupatorium cannabinum - Koninginnekruid;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Knautia arvensis - Beemdkroon;;;;;;;2.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;2.0;;;;;;;8.0;;;;2.0;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Lactuca serriola - Kompassla;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Melilotus albus - Witte honingklaver;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Melilotus officinalis - Citroengele honingklaver;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Rubus species - Braam (G);;;;;;;2.0;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;8.0;;;;;8.0;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;2.0;;4.0;8.0;;;;;;;;0.0;
Hogere plant;Rumex obtusifolius - Ridderzuring;;;;;;;1.0;;;;2.0;;;;;;;2.0;2.0;;;;2.0;;;;;2.0;;;2.0;2.0;1.0;;;;;;;;;;;2.0;;;;;;;;;;2.0;;;2.0;2.0;1.0;;;;;;;;;;2.0;;;;;;;;;;;;2.0;;2.0;;;;;8.0;;2.0;;2.0;;2.0;;;1.0;;;;0.0;
Hogere plant;Salix caprea - Boswilg;;;;;;;2.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Salvia nemorosa - Bossalie;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Stachys species - Andoorn (G);;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Stellaria graminea - Grasmuur;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Verbena bonariensis - Stijf ijzerhard;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Veronica serpyllifolia - Tijmereprijs;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Centaurea jacea - Knoopkruid;;;;;;;;2.0;;2.0;;;;;;;;;;2.0;;8.0;;;3.0;;2.0;;;;;;;;;;;;;;;;;;;;;3.0;2.0;8.0;;4.0;1.0;;8.0;2.0;;;;;2.0;;;;;;;;8.0;8.0;;8.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Vicia villosa - Bonte wikke;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Achillea ptarmica - Wilde bertram;;;;;;;;;3.0;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;0.0;
Hogere plant;Equisetum palustre - Lidrus;;;;;;;;;1.0;;;;;;;;;2.0;;8.0;;;;2.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;4.0;;;0.0;
Hogere plant;Lathyrus pratensis - Veldlathyrus;;;;;;;;;8.0;;;;;;;;;;;;;;3.0;;;;;;;8.0;;;2.0;;;;;;2.0;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Lotus pedunculatus - Moerasrolklaver;;;;;;;;;3.0;;;1.0;;;;1.0;1.0;;;;;;3.0;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;3.0;8.0;;;;8.0;;;2.0;;;;;;;2.0;;;;;;1.0;;;;;;0.0;
Hogere plant;Poa pratensis subsp. pratensis - Veldbeemdgras;;;;;;;;;8.0;2.0;;;8.0;;;;;;;;;;;2.0;;;2.0;;;;;;;;3.0;;;;2.0;;;8.0;;8.0;8.0;8.0;;2.0;2.0;;;;;;8.0;;2.0;;;;;3.0;;;;;2.0;2.0;8.0;;2.0;2.0;2.0;;3.0;3.0;;8.0;;;;;;8.0;;8.0;;;;;;;;;;;;;;;0.0;
Hogere plant;Ranunculus acris - Scherpe boterbloem;;;;;;;;;3.0;2.0;;;;2.0;;;;;;1.0;;8.0;;2.0;;;;;;;;;;;;;;;;;;2.0;;;;;;;;3.0;3.0;;2.0;;;8.0;;2.0;3.0;;;;;;;;;;;2.0;;8.0;1.0;8.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Rhinanthus angustifolius - Grote ratelaar;;;;;;;;;2.0;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Rubus caesius - Dauwbraam;;;;;;;;;8.0;;;;;;;;;;;;;;2.0;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Arrhenatherum elatius - Glanshaver;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;2.0;8.0;;;;;;8.0;8.0;;;;;;;;;;;;2.0;;;8.0;;;;8.0;;;;;;;;;;;;2.0;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Briza media - Bevertjes;;;;;;;;;;2.0;;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;2.0;;;;;;;;;2.0;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Malva moschata - Muskuskaasjeskruid;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;2.0;;2.0;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Rhinanthus minor - Kleine ratelaar;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;8.0;;;;;;;;;;;;;;;;;;2.0;;;8.0;;;8.0;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Rhinanthus species - Ratelaar (G);;;;;;;;;;8.0;2.0;;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Centaurea scabiosa - Grote centaurie;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Galium verum - Geel walstro;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Jacobaea vulgaris - Jakobskruiskruid / Duinkruiskruid;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;2.0;;8.0;2.0;;;;2.0;3.0;8.0;8.0;8.0;2.0;;2.0;2.0;4.0;;2.0;2.0;;2.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;0.0;
